filosofo,comidas,espera_promedio_ms,espera_maxima_ms,desviacion_espera_ms
0,372,19.742,294.000,37.066
1,348,25.296,826.000,60.685
2,380,17.963,399.000,34.359
3,334,29.111,865.000,77.433
4,365,21.907,841.000,55.060
