filosofo,comidas,espera_promedio_ms,espera_maxima_ms,desviacion_espera_ms
0,84,26.893,258.000,45.031
1,83,34.265,260.000,54.814
2,78,48.154,1531.000,175.495
3,77,62.545,912.000,141.964
4,80,42.962,554.000,80.996
